url,type,lang,http_status,final_url,redirect_chain,content_length,last_modified,content_type,title,description,h1,canonical,robots,og_title,og_description,og_image,og_locale,og_type,hreflang_count,hreflang_list,elapsed_ms,error
https://dikoros-ua.com/ru/kontaktna-informatsiya/,page,ru,200,https://dikoros-ua.com/ru/kontaktna-informatsiya/,,95363,,text/html; charset=UTF-8,"Контактная информация онлайн-магазина микродозинга, ягод Дикорос","Контакты производителя продукции из мухоморов, трав и ягод ДикоросUA из Чернигова. Купить микродозинг, настойки, мази по доступной цене на dikoros-ua.com",Контактная информация магазина дикорастущих растений Dikoros,https://dikoros-ua.com/ru/kontaktna-informatsiya/,all,"Контактная информация онлайн-магазина микродозинга, ягод Дикорос","Контакты производителя продукции из мухоморов, трав и ягод ДикоросUA из Чернигова. Купить микродозинг, настойки, мази по доступной цене на dikoros-ua.com",https://dikoros-ua.com/content/images/2/632x650l90nn0/44005449345320.jpg,ru_RU,article,3,uk=https://dikoros-ua.com/kontaktna-informatsiya/|en=https://dikoros-ua.com/en/kontaktna-informatsiya/|ru=https://dikoros-ua.com/ru/kontaktna-informatsiya/,486,
https://dikoros-ua.com/store-reviews/,page,ua,200,https://dikoros-ua.com/store-reviews/,,239326,,text/html; charset=UTF-8,"Чесні відгуки про магазин мухоморів, трав та ягід Dikoros з Чернігова","Враження та відгуки користувачів про інтернет-магазин продукції з грибів, трав та ягід ДикоросUA. Оперативне оброблення замовлень та швидка доставка грибів з чистих лісів Полісся",Відгуки про магазин лікарських рослин та грибів Дикорос,https://dikoros-ua.com/store-reviews/,all,"Чесні відгуки про магазин мухоморів, трав та ягід Dikoros з Чернігова","Враження та відгуки користувачів про інтернет-магазин продукції з грибів, трав та ягід ДикоросUA. Оперативне оброблення замовлень та швидка доставка грибів з чистих лісів Полісся",https://dikoros-ua.com/content/images/2/632x650l90nn0/44005449345320.jpg,ua_UA,article,3,uk=https://dikoros-ua.com/store-reviews/|en=https://dikoros-ua.com/en/store-reviews/|ru=https://dikoros-ua.com/ru/store-reviews/,1537,
https://dikoros-ua.com/en/store-reviews/,page,en,200,https://dikoros-ua.com/en/store-reviews/,,236465,,text/html; charset=UTF-8,"Honest reviews about the store of mushrooms, herbs and berries Dikoros","Impressions and reviews of users about the DykorosUA online store of mushroom, herb and berry products. Prompt processing of orders and fast delivery of mushrooms from the clean forests of Polissia",Reviews about the store of medicinal plants and mushrooms Dikoros,https://dikoros-ua.com/en/store-reviews/,all,"Honest reviews about the store of mushrooms, herbs and berries Dikoros","Impressions and reviews of users about the DykorosUA online store of mushroom, herb and berry products. Prompt processing of orders and fast delivery of mushrooms from the clean forests of Polissia",https://dikoros-ua.com/content/images/2/632x650l90nn0/44005449345320.jpg,en_US,article,3,uk=https://dikoros-ua.com/store-reviews/|en=https://dikoros-ua.com/en/store-reviews/|ru=https://dikoros-ua.com/ru/store-reviews/,631,
https://dikoros-ua.com/ru/store-reviews/,page,ru,200,https://dikoros-ua.com/ru/store-reviews/,,239532,,text/html; charset=UTF-8,"Честные отзывы о магазине мухоморов, трав и ягод Dikoros из Чернигова","Отзывы пользователей об интернет-магазине продукции из грибов, трав и ягод ДикоросUA. Оперативная обработка заказов и быстрая доставка грибов из чистых лесов Полесья.",Отзывы о магазине лекарственных растений и грибов Дикорос,https://dikoros-ua.com/ru/store-reviews/,all,"Честные отзывы о магазине мухоморов, трав и ягод Dikoros из Чернигова","Отзывы пользователей об интернет-магазине продукции из грибов, трав и ягод ДикоросUA. Оперативная обработка заказов и быстрая доставка грибов из чистых лесов Полесья.",https://dikoros-ua.com/content/images/2/632x650l90nn0/44005449345320.jpg,ru_RU,article,3,uk=https://dikoros-ua.com/store-reviews/|en=https://dikoros-ua.com/en/store-reviews/|ru=https://dikoros-ua.com/ru/store-reviews/,523,
https://dikoros-ua.com/dohovir-oferty/,page,ua,200,https://dikoros-ua.com/dohovir-oferty/,,171562,,text/html; charset=UTF-8,"Публічна оферта інтернет-магазину грибів, трав та ягід Dikoros",Договір купівлі продажу на сайті з мухоморами та лікувальними травами Дикорос — доступні ціни та зручні умови співпраці. Замовити корисні настоянки та мазі на сайті dikoros-ua.com,Публічний договір — магазин сушених мухоморів та трав Дікорос,https://dikoros-ua.com/dohovir-oferty/,all,"Публічна оферта інтернет-магазину грибів, трав та ягід Dikoros",Договір купівлі продажу на сайті з мухоморами та лікувальними травами Дикорос — доступні ціни та зручні умови співпраці. Замовити корисні настоянки та мазі на сайті dikoros-ua.com,,ua_UA,article,3,uk=https://dikoros-ua.com/dohovir-oferty/|en=https://dikoros-ua.com/en/dohovir-oferty/|ru=https://dikoros-ua.com/ru/dohovir-oferty/,450,
https://dikoros-ua.com/en/dohovir-oferty/,page,en,200,https://dikoros-ua.com/en/dohovir-oferty/,,98248,,text/html; charset=UTF-8,"Public offer of Dikoros mushroom, herb and berry online store",The contract of purchase and sale on the site with fly agaric mushrooms and medicinal herbs Dikoros — affordable prices and convenient terms of cooperation. Order useful tinctures and ointments on the website dikoros-ua.com,Public contract — store of dried amanitas and herbs Dikoros,https://dikoros-ua.com/en/dohovir-oferty/,all,"Public offer of Dikoros mushroom, herb and berry online store",The contract of purchase and sale on the site with fly agaric mushrooms and medicinal herbs Dikoros — affordable prices and convenient terms of cooperation. Order useful tinctures and ointments on the website dikoros-ua.com,,en_US,article,3,uk=https://dikoros-ua.com/dohovir-oferty/|en=https://dikoros-ua.com/en/dohovir-oferty/|ru=https://dikoros-ua.com/ru/dohovir-oferty/,439,
https://dikoros-ua.com/ru/dohovir-oferty/,page,ru,200,https://dikoros-ua.com/ru/dohovir-oferty/,,106957,,text/html; charset=UTF-8,"Публичная оферта интернет-магазина грибов, трав и ягод Dikoros",Договор купли продажи на сайте с мухоморами и лечебными травами Дикорос — доступные цены и удобные условия сотрудничества. Заказать полезные настойки и мази на сайте dikoros-ua.com,Публичный договор - магазин сушеных мухоморов и трав Дикорос,https://dikoros-ua.com/ru/dohovir-oferty/,all,"Публичная оферта интернет-магазина грибов, трав и ягод Dikoros",Договор купли продажи на сайте с мухоморами и лечебными травами Дикорос — доступные цены и удобные условия сотрудничества. Заказать полезные настойки и мази на сайте dikoros-ua.com,,ru_RU,article,3,uk=https://dikoros-ua.com/dohovir-oferty/|en=https://dikoros-ua.com/en/dohovir-oferty/|ru=https://dikoros-ua.com/ru/dohovir-oferty/,626,
https://dikoros-ua.com/chasti-pytannia/,page,ua,200,https://dikoros-ua.com/chasti-pytannia/,,109693,,text/html; charset=UTF-8,"Часті питання про мікродозинг, гриби та трави - Дікорос","Відповіді на часті питання клієнтів Дікорос про мікродозинг грибів, його дієвість та вплив. Що таке мікродозинг, як його приймати, як діють лисички чи мухомори та інші гриби - коротко про головне. Замовити гриби мухомори, кордицепс, їжовик та інші гриби у виробника Дікорос ЮА, Чернігів",Відповіді на часті питання,https://dikoros-ua.com/chasti-pytannia/,all,"Часті питання про мікродозинг, гриби та трави - Дікорос","Відповіді на часті питання клієнтів Дікорос про мікродозинг грибів, його дієвість та вплив. Що таке мікродозинг, як його приймати, як діють лисички чи мухомори та інші гриби - коротко про головне. Замовити гриби мухомори, кордицепс, їжовик та інші...",,ua_UA,article,3,uk=https://dikoros-ua.com/chasti-pytannia/|en=https://dikoros-ua.com/en/chasti-pytannia/|ru=https://dikoros-ua.com/ru/chasti-pytannia/,539,
https://dikoros-ua.com/en/chasti-pytannia/,page,en,200,https://dikoros-ua.com/en/chasti-pytannia/,,100901,,text/html; charset=UTF-8,"Questions About Microdosing, Mushrooms, and Herbs - Dikoros","Answers to frequently asked questions from Dikoros customers about mushroom microdosing, its effectiveness and impact. What is microdosing, how to take it, how chanterelles or fly agarics and other mushrooms work - briefly about the main thing. Order mushrooms from Dikoros UA, Chernihiv",Answers to frequently asked questions,https://dikoros-ua.com/en/chasti-pytannia/,all,"Questions About Microdosing, Mushrooms, and Herbs - Dikoros","Answers to frequently asked questions from Dikoros customers about mushroom microdosing, its effectiveness and impact. What is microdosing, how to take it, how chanterelles or fly agarics and other mushrooms work - briefly about the main thing. Or...",,en_US,article,3,uk=https://dikoros-ua.com/chasti-pytannia/|en=https://dikoros-ua.com/en/chasti-pytannia/|ru=https://dikoros-ua.com/ru/chasti-pytannia/,448,
https://dikoros-ua.com/ru/chasti-pytannia/,page,ru,200,https://dikoros-ua.com/ru/chasti-pytannia/,,110552,,text/html; charset=UTF-8,"Часто задаваемые вопросы о микродозинге, грибах и травах - Дикорос","Ответы на частые вопросы клиентов Дикорос о микродозинге грибов, его действенности и влиянии. Что такое микродозинг, как его принимать, как действуют лисички или мухоморы и другие грибы – коротко о главном. Купить грибы мухоморы, кордицепс, ежовик и другие грибы у Дикорос ЮА, Чернигов",Ответы на частые вопросы,https://dikoros-ua.com/ru/chasti-pytannia/,all,"Часто задаваемые вопросы о микродозинге, грибах и травах - Дикорос","Ответы на частые вопросы клиентов Дикорос о микродозинге грибов, его действенности и влиянии. Что такое микродозинг, как его принимать, как действуют лисички или мухоморы и другие грибы – коротко о главном. Купить грибы мухоморы, кордицепс, ежовик...",,ru_RU,article,3,uk=https://dikoros-ua.com/chasti-pytannia/|en=https://dikoros-ua.com/en/chasti-pytannia/|ru=https://dikoros-ua.com/ru/chasti-pytannia/,643,
